Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
235,Cascia,Victomia,Victomia Province,Lathanar,Dominion of Lathanar,Esla'rei,Deity of High Truth,127,1582.98,715.95,30.2,30.5,1184,63°F,Lisbon,,,citadel,,plaza,,,{t1:semy_of_billet-or-azure-small;charges:[{charge:angel;t:sable;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cascia&population=127&size=6&seed=8563657060235&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
236,Coimbra,Coimbra,Coimbra Province,Sueiana,Great Union of Sueiana,Therini,Deity of High Truth,934,1598,730,29.52,31.24,328,64°F,Barcelona,,,citadel,,plaza,,,{t1:grillage-argent-purpure-smaller;ordinaries:[{ordinary:bordure;t:sable}];charges:[{charge:annulet;t:or;p:ABCDEFGHIJKL;size:0.18}];shield:heater},https://watabou.github.io/city-generator/?name=Coimbra&population=934&size=9&seed=8563657060236&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
237,Korten,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,1489,507,740.5,29.01,-22.18,328,64°F,Barcelona,,port,,walls,plaza,,shanty town,{t1:argent;charges:[{charge:lozengePloye;t:sable;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Korten&population=1489&size=10&seed=8563657060237&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.5
238,Mebovl,Old Moncosia,Old Moncosia,Moncosia,Kingdom of Moncosia,Saas'maean,Deities of Trade,1240,1210.5,745,28.79,12.26,30,66°F,Marrakesh,,port,citadel,walls,plaza,temple,,{t1:or;ordinaries:[{ordinary:fess;t:gules;line:straight}];charges:[{charge:comet;t:or;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Mebovl&population=1240&size=9&seed=8563657060238&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.57
239,Er Ok,South Forest,South Forest Commonwealth,Mesenolo,Mesenolan Republic,Maysiolian,Deities of Nature,2567,505,750.5,28.53,-22.28,52,68°F,Alexandria,,port,,walls,plaza,temple,shanty town,{t1:sable;charges:[{charge:drawingCompass;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Er+Ok&population=2567&size=12&seed=8563657060239&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.49
240,Plavenno,Adamurralma,Adamurralma Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Esla'rei,Deities of the Realm,319,1269.5,790,26.61,15.15,13,68°F,Alexandria,,port,,,plaza,,,{t1:masoned-or-purpure;division:{division:gyronny;t:gules};shield:heater},https://watabou.github.io/village-generator/?pop=319&name=&seed=8563657060240&width=800&height=364&tags=coast%2Cdead+end%2Cfarmland%2Cdense
241,Luegro,Victomia,Victomia Province,Lathanar,Dominion of Lathanar,Esla'rei,Deity of High Truth,1693,1529,791.5,26.53,27.86,13,68°F,Alexandria,,port,,walls,plaza,,,{t1:gules;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Luegro&population=1693&size=11&seed=8563657060241&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.27
242,Felmen,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,180,1063,228,53.92,5.04,30,50°F,London,,port,,walls,plaza,,,{t1:grillage-purpure-argent;division:{division:perPale;t:or;line:straight};charges:[{charge:crossClechy;t:azure;p:p;size:0.7};{charge:crossFleury;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Felmen&population=180&size=6&seed=8563657060242&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.71
243,Jarkkiren,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,676,1087,280.5,51.37,6.22,266,50°F,London,,port,,walls,plaza,,,{t1:fusily-gules-or;charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Jarkkiren&population=676&size=8&seed=8563657060243&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.11
244,Reykjarbak,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Craft,847,990.5,303,50.27,1.49,210,54°F,Paris,,port,,,plaza,,,{t1:vert;ordinaries:[{ordinary:gore;t:argent}];charges:[{charge:mullet8;t:or;p:acegi;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=847&name=&seed=8563657060244&width=1000&height=455&tags=coast%2Chighway%2Cdense
245,Dalsoy,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,168,1310.5,313.5,49.76,17.16,82,54°F,Paris,,port,,,plaza,,,{t1:azure;ordinaries:[{ordinary:saltire;t:argent;line:indented}];charges:[{charge:boat;t:azure;p:e;t2:azure;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=168&name=&seed=8563657060245&width=600&height=273&tags=coast%2Chighway%2Cfarmland
246,Arkkaz'tes,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Kili'ini,Deities of Trade,889,1083.35,331.35,48.9,6.04,328,52°F,Antwerp,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:cannon;t:gules;p:abcpqh;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Arkkaz%27tes&population=889&size=8&seed=8563657060246&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
247,Lauvogland,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,606,1356.63,331,48.91,19.42,13,54°F,Paris,,,,walls,plaza,,,{t1:argent;division:{division:perBend;t:azure;line:straight};charges:[{charge:inescutcheon;t:gules;p:lm;size:0.7};{charge:lozenge;t:or;p:lm;size:0.35}];shield:heater},https://watabou.github.io/city-generator/?name=Lauvogland&population=606&size=7&seed=8563657060247&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
248,Sofjor,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,164,1356,341.5,48.4,19.39,30,54°F,Paris,,port,,,plaza,,,{t1:argent;division:{division:perPile;t:purpure;line:straight};charges:[{charge:crescent;t:gules;p:be;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=164&name=&seed=8563657060248&width=600&height=273&tags=coast%2Chighway
249,Caxial,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,748,1530,370,47.02,27.91,82,55°F,Milan,,port,,,plaza,,,{t1:sable;ordinaries:[{ordinary:gemelle;t:argent;line:potentySinister}];charges:[{charge:lionHeadCaboshed;t:argent;p:abc;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=748&name=&seed=8563657060249&width=1000&height=455&tags=coast%2Cdead+end%2Cfarmland%2Cdense
250,Khaliyah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,1398,422.08,376.03,46.72,-26.34,13,55°F,Milan,,,citadel,walls,plaza,temple,shanty town,{t1:or;division:{division:chevronny;t:semy_of_sunInSplendour-argent-azure};shield:heater},https://watabou.github.io/city-generator/?name=Khaliyah&population=1398&size=10&seed=8563657060250&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
251,Rrokkaj'ji,North Chosia,North Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,154,1062,378,46.63,4.99,210,55°F,Milan,,port,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:fess;t:or;line:straight}];charges:[{charge:mullet6;t:vert;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=154&name=&seed=8563657060251&width=600&height=273&tags=coast%2Cdead+end
252,Alhadah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,168,373,378.5,46.6,-28.74,82,55°F,Milan,,port,,,,,,{t1:fretty-gules-argent-small;ordinaries:[{ordinary:terrace;t:or;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=168&name=&seed=8563657060252&width=600&height=273&tags=coast%2Chighway%2Cno+square
253,Ruth'tiss,North Chosia,North Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,652,1124,381,46.48,8.03,210,55°F,Milan,,port,citadel,walls,plaza,,,{t1:azure;charges:[{charge:griffinPassant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ruth%27tiss&population=652&size=7&seed=8563657060253&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.06
254,Ghran,Concatia,Concatia Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,125,492.03,389.93,46.05,-22.91,52,55°F,Milan,,,,,,,,{t1:argent;ordinaries:[{ordinary:pale;t:sable;line:wavy}];charges:[{charge:bowWithArrow;t:sable;p:y;t2:vert;t3:sable;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=125&name=&seed=8563657060254&width=600&height=273&tags=estuary%2Cdead+end%2Cno+square
255,Nylmlielulal,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Craft,165,601.5,390,46.05,-17.55,118,55°F,Milan,,port,,,,,,{t1:pappellony-argent-purpure;division:{division:gyronny;t:vert};ordinaries:[{ordinary:fess;t:azure;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=165&name=&seed=8563657060255&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
256,Grorri,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,140,1139.93,408.05,45.17,8.81,52,55°F,Milan,,,,,,,,{t1:purpure;charges:[{charge:scissors2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=140&name=&seed=8563657060256&width=600&height=273&tags=estuary%2Cdead+end%2Cno+square
257,Yeung,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,184,1603.5,435,43.86,31.5,30,57°F,Batumi,,port,,,,,,{t1:argent;division:{division:perBend;t:gules;line:straight};charges:[{charge:mullet;t:purpure;p:l;size:0.7};{charge:crossHummetty;t:or;p:m;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=184&name=&seed=8563657060257&width=600&height=273&tags=estuary%2Cdead+end%2Cfarmland%2Cno+square
258,Geidiluba,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,1167,1308,452,43.03,17.04,13,57°F,Batumi,,,,walls,plaza,,,{t1:ermine-argent-sable;ordinaries:[{ordinary:bendSinister;t:vert;line:straight}];charges:[{charge:hatchet;t:argent;p:lm;t2:azure;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Geidiluba&population=1167&size=9&seed=8563657060258&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
259,Imselona,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,198,563,460,42.64,-19.44,472,55°F,Milan,,port,,,,,,{t1:argent;charges:[{charge:crossHummetty;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=198&name=&seed=8563657060259&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
260,Drethilsa,Concatia,Concatia Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,983,529,460.5,42.62,-21.1,30,57°F,Batumi,,port,,,plaza,,,{t1:argent;charges:[{charge:inescutcheon;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=983&name=&seed=8563657060260&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
261,Fabukhen,The North,The North Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,1591,317.5,490,41.19,-31.46,30,59°F,Rome,,port,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:harp;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fabukhen&population=1591&size=10&seed=8563657060261&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=1.04
262,Slalzan,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,2289,1039,490,41.19,3.87,82,59°F,Rome,,port,citadel,walls,plaza,,shanty town,{t1:gules;charges:[{charge:annulet;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Slalzan&population=2289&size=12&seed=8563657060262&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1
263,Beira,Amakei,Amakei Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,903,1468.5,499,40.75,24.9,82,59°F,Rome,,port,citadel,,plaza,,,{t1:vairEnPointe-azure-argent;division:{division:perPale;t:or;line:straight};ordinaries:[{ordinary:chevronReversed;t:sable}];shield:heater},https://watabou.github.io/city-generator/?name=Beira&population=903&size=8&seed=8563657060263&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.76
264,Shurgush,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,1953,1130.5,512,40.12,8.35,397,57°F,Batumi,,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:gemelle;t:vert;line:embattledGhibellin}];charges:[{charge:pique;t:gules;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shurgush&population=1953&size=11&seed=8563657060264&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.82
265,Innssherin,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,784,548.9,520.6,39.7,-20.13,397,57°F,Batumi,,,citadel,walls,plaza,,,{t1:bendy-argent-sable;division:{division:perPale;t:purpure;line:straight};ordinaries:[{ordinary:bordure;t:gules}];shield:heater},https://watabou.github.io/city-generator/?name=Innssherin&population=784&size=8&seed=8563657060265&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
266,Ki'tiss,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,1173,1170,518,39.83,10.28,210,59°F,Rome,,port,citadel,walls,plaza,,,{t1:purpure;division:{division:perChevronReversed;t:or;line:straight};charges:[{charge:lizard;t:argent;p:mok;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ki%27tiss&population=1173&size=9&seed=8563657060266&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.36
267,Fukfung,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Henyish,Deities of the Realm,2434,1497.5,558,37.88,26.32,82,61°F,Dubrovnik,,port,citadel,walls,plaza,,shanty town,{t1:argent;charges:[{charge:shipWheel;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fukfung&population=2434&size=12&seed=8563657060267&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=0.79
268,Lamhoiyeung,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Henyish,Deities of the Realm,124,1506.07,560.73,37.75,26.73,13,61°F,Dubrovnik,,,,,,,,{t1:vairAncien-or-azure;division:{division:perFess;t:purpure;line:straight};ordinaries:[{ordinary:gemelle;t:gules;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=124&name=&seed=8563657060268&width=600&height=273&tags=pond%2Cdead+end%2Cno+square
269,Nylmsegul,Nylmas,Nylmas Province,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,240,548.04,566.43,37.47,-20.17,82,61°F,Dubrovnik,,,,,plaza,,,{t1:purpure;division:{division:perCross;t:argent;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=240&name=&seed=8563657060269&width=800&height=364&tags=dead+end
270,Agduegro,Thelippa,Thelippa Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of the Realm,554,1352.5,583,36.67,19.22,840,57°F,Batumi,,port,,,plaza,,,{t1:gules;charges:[{charge:hand;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=554&name=&seed=8563657060270&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
271,Oranorgond,North Forest,North Forest Occupation zone,Illoveth,Kingdom of Illoveth,Nevterish,Deities of Nature,324,526.93,600.6,35.81,-21.2,118,63°F,Lisbon,,,,walls,plaza,,,{t1:or;charges:[{charge:crown;t:vert;p:pq;t2:vert;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Oranorgond&population=324&size=6&seed=8563657060271&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
272,Bracatuanum,Ti'yare,Ti'yare Province,Esla,Eslan Empire,Esla'rei,Deities of the Realm,576,1441,601,35.79,23.55,52,63°F,Lisbon,,port,,,plaza,,,{t1:vert;charges:[{charge:mapleLeaf;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=576&name=&seed=8563657060272&width=1000&height=455&tags=coast%2Cdead+end%2Cdense
273,Aquriluro,Thelippa,Thelippa Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of the Realm,193,1377,609,35.4,20.42,52,63°F,Lisbon,,port,,,,,,{t1:argent;division:{division:perPale;t:gules;line:wavy};charges:[{charge:dolphin;t:azure;p:e;t2:azure;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=193&name=&seed=8563657060273&width=600&height=273&tags=estuary%2Chighway%2Cno+square
274,Kar'thijek,Osnia,Osnia Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,1993,1147,620.5,34.84,9.16,30,63°F,Lisbon,,port,citadel,walls,plaza,,shanty town,{t1:gules;division:{division:perCross;t:or;line:wavy};charges:[{charge:drakkar;t:argent;p:j;t2:argent;t3:argent;size:0.6};{charge:butterfly;t:gules;p:l;size:0.6};{charge:sabresCrossed;t:sable;p:m;size:0.6};{charge:crossClechy;t:or;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Kar%27thijek&population=1993&size=11&seed=8563657060274&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.26
275,Asbekeli,North Forest,North Forest Occupation zone,Illoveth,Kingdom of Illoveth,Maysiolian,Deities of Nature,402,609.9,626.6,34.55,-17.14,52,63°F,Lisbon,,,,,plaza,,,{t1:gules;division:{division:perCross;t:or;line:indented};charges:[{charge:windmill;t:argent;p:j;t2:argent;t3:argent;size:0.6};{charge:sextifoil;t:gules;p:l;size:0.6};{charge:crossAvellane;t:gules;p:m;size:0.6};{charge:column;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=402&name=&seed=8563657060275&width=800&height=364&tags=dead+end%2Cdense
276,Gajas,Vai,Vai Province,Abeia,The Union Sovereign Cities of the Abeian Strait,Kili'ini,Deities of Trade,187,1203,641.5,33.82,11.9,52,63°F,Lisbon,,port,,walls,,,,{t1:lozengy-argent-azure;charges:[{charge:bowWithArrow;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gajas&population=187&size=6&seed=8563657060276&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.89
277,Erinerindest,Gelulallesa,Gelulallesa Province,Varcii,Varciian Commonwealth,Nevterish,Deities of Nature,1585,702,645,33.65,-12.63,472,63°F,Lisbon,,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:armillarySphere;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Erinerindest&population=1585&size=10&seed=8563657060277&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.96
